FieldPeriodID	UniqueBirdsObserved	TotalRinged	IndependentBirds	PEnd	Pcolor
22	380	375	325	1997-08-28	Past seasons
23	372	363	336	1998-03-28	Past seasons
25	322	321	270	1998-09-27	Past seasons
26	254	251	251	1999-01-29	Past seasons
27	274	266	244	1999-05-04	Past seasons
28	372	369	295	1999-09-26	Past seasons
30	376	371	325	2003-09-02	Past seasons
31	337	336	335	2004-01-14	Past seasons
32	366	358	357	2004-05-29	Past seasons
34	356	351	341	2004-09-02	Past seasons
35	303	295	284	2005-01-12	Past seasons
37	394	371	334	2005-09-11	Past seasons
39	339	335	303	2000-08-13	Past seasons
40	291	287	277	2001-07-26	Past seasons
41	372	366	315	2002-10-02	Past seasons
54	398	388	357	2005-12-11	Past seasons
75	425	389	355	2006-09-02	Past seasons
77	377	364	366	2007-01-29	Past seasons
82	423	392	370	2007-09-16	Past seasons
85	374	352	370	2008-02-21	Past seasons
87	379	360	349	2008-09-07	Past seasons
90	352	329	325	2009-03-03	Past seasons
92	402	346	323	2009-09-18	Past seasons
103	321	274	300	2010-03-19	Past seasons
104	398	335	310	2010-09-10	Past seasons
105	381	330	319	2011-10-02	Past seasons
112	307	278	278	2012-02-28	Past seasons
116	355	317	327	2012-09-30	Past seasons
118	283	267	278	2013-02-27	Past seasons
122	336	303	303	2013-09-30	Past seasons
124	282	246	252	2014-03-04	Past seasons
125	392	391	337	2014-10-04	Past seasons
139	364	364	348	2015-03-05	Past seasons
142	344	331	281	2015-09-29	Past seasons
144	290	268	284	2016-03-09	Past seasons
159	318	269	267	2016-09-19	Past seasons
161	282	262	278	2017-03-03	Past seasons
164	364	310	288	2017-09-20	Past seasons
166	336	297	310	2018-03-14	Past seasons
167	399	352	336	2018-09-22	Past seasons
171	374	342	353	2019-03-09	Past seasons
173	335	292	302	2019-09-23	Past seasons
174	294	287	276	2020-03-16	Past seasons
175	226	222	226	2021-06-15	Past seasons
176	348	296	289	2021-09-30	Past seasons
177	298	256	286	2022-03-18	Past seasons
178	265	246	250	2022-09-14	Past seasons
184	236	214	227	2023-03-27	Past seasons
186	251	251	222	2023-10-09	Past seasons
188	232	206	211	2024-03-15	Past seasons
200	204	200	184	2024-06-15	Past seasons
201	139	124	133	2025-03-15	This season
